title,url,custom_redirect,page,text,Category,Rank,Hide,isFree,isTopRated,verified,premium,imgUrl,logoUrl,webaddress,social,city,state,salary,type,messages,poshttp://127.0.0.1:4000/ition,about,jobDescription,qualifications,img1,img2,img3,img4,avatar,name,date
Nugg Club,https://nuggclub.com,https://nuggclub.com,nuggclub,Subscription-based cannabis delivery service offering curated monthly boxes in California.,Weed Delivery,85,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/nuggclub.jpg,https://example.com/nuggclub-logo.png,nuggclub.com,Nugg Club,Los Angeles,CA,,,,,,,,,,,,Olivia Green,Olivia Green,16 May
PotBot,https://potbot.com,https://potbot.com,potbot,"AI-powered cannabis delivery and personalized recommendations, focusing on medical use.",Weed Delivery,89,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/potbot.jpg,https://example.com/potbot-logo.png,potbot.com,PotBot,San Jose,CA,,,,,,,,,,,,Mark Taylor,Mark Taylor,16 May
Ganjarunner,https://ganjarunner.com,https://ganjarunner.com,ganjarunner,Reliable delivery of high-quality cannabis products across California.,Weed Delivery,84,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/ganjarunner.jpg,https://example.com/ganjarunner-logo.png,ganjarunner.com,Ganjarunner,Sacramento,CA,,,,,,,,,,,,Daniel Clark,Daniel Clark,16 May
Emjay,https://heyemjay.com,https://heyemjay.com,emjay,Fast and free delivery of top cannabis products in California.,Weed Delivery,83,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/emjay.jpg,https://example.com/emjay-logo.png,heyemjay.com,Emjay,Los Angeles,CA,,,,,,,,,,,,Emma Wilson,Emma Wilson,16 May
MedMen,https://medmen.com,https://medmen.com,medmen,"Premium cannabis products delivered to your door, with locations in multiple states.",Weed Delivery,92,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/medmen.jpg,https://example.com/medmen-logo.png,medmen.com,MedMen,New York,NY,,,,,,,,,,,,Lucas King,Lucas King,16 May
SpeedWeed,https://speedweed.com,https://speedweed.com,speedweed,"Pioneers in cannabis delivery, offering a wide range of products across California.",Weed Delivery,86,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/speedweed.jpg,https://example.com/speedweed-logo.png,speedweed.com,SpeedWeed,Los Angeles,CA,,,,,,,,,,,,Sophia Young,Sophia Young,1 May
Flower Market,https://flowermarket.com,,flower,Cannabis delivery service in various California regions.,Weed Delivery,85,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/flowermarket.jpg,https://example.com/flowermarket-logo.png,flowermarket.com,Flower Market,Los Angeles,CA,,,,,,,,,,,,John Doe,John Doe,16 May
Blitz Direct,https://blitzdirect.com,,blitz,Cannabis delivery service focusing on Los Angeles area.,Weed Delivery,80,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/blitzdirect.jpg,https://example.com/blitzdirect-logo.png,blitzdirect.com,Blitz Direct,Los Angeles,CA,,,,,,,,,,,,Jane Smith,Jane Smith,16 May
CanEx Delivery,https://canexdelivery.com,,canex,Cannabis delivery service in several California counties.,Weed Delivery,88,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/canexdelivery.jpg,https://example.com/canexdelivery-logo.png,canexdelivery.com,CanEx Delivery,San Diego,CA,,,,,,,,,,,,Alex Johnson,Alex Johnson,16 May
Caliva,https://caliva.com,,caliva,Wide variety of cannabis products with same-day delivery options.,Weed Delivery,95,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/caliva.jpg,https://example.com/caliva-logo.png,caliva.com,Caliva,San Francisco,CA,,,,,,,,,,,,Robert Brown,Robert Brown,16 May
Good Tree,https://getgoodtree.com,,goodtree,Offers various cannabis products and deals with speedy delivery.,Weed Delivery,87,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/getgoodtree.jpg,https://example.com/getgoodtree-logo.png,getgoodtree.com,Good Tree,Los Angeles,CA,,,,,,,,,,,,Emily Davis,Emily Davis,16 May
Kushfly,https://kushfly.com,,kushfly,Cannabis delivery service with same-day options and free delivery on orders over $150.,Weed Delivery,82,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/kushfly.jpg,https://example.com/kushfly-logo.png,kushfly.com,Kushfly,Los Angeles,CA,,,,,,,,,,,,Alex Green,Alex Green,16 May
Pot Valet,https://potvalet.com,,potvalet,"Fast delivery service specializing in natural, contaminant-free cannabis products.",Weed Delivery,89,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/potvalet.jpg,https://example.com/potvalet-logo.png,potvalet.com,Pot Valet,San Jose,CA,,,,,,,,,,,,Mark Taylor,Mark Taylor,16 May
Budz Deli,https://budzdeli.com,,budzdeli,Wide variety of cannabis products with a minimum purchase requirement.,Weed Delivery,84,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/budzdeli.jpg,https://example.com/budzdeli-logo.png,budzdeli.com,Budz Deli,San Francisco,CA,,,,,,,,,,,,Emma Wilson,Emma Wilson,16 May
Just Mary,https://justmarydelivery.com,,justmary,Cannabis delivery service with loyalty points and order tracking.,Weed Delivery,83,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/justmary.jpg,https://example.com/justmary-logo.png,justmarydelivery.com,Just Mary,Los Angeles,CA,,,,,,,,,,,,Olivia Green,Olivia Green,16 May
Bud.com,https://bud.com,,bud,Focus on quality cannabis brands with a wide range of products.,Weed Delivery,85,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/bud.jpg,https://example.com/bud-logo.png,bud.com,Bud.com,Los Angeles,CA,,,,,,,,,,,,Lucas King,Lucas King,16 May
High Times,https://hightimes.com,,hightimes,Premier cannabis delivery service with first-time patient discounts.,Weed Delivery,88,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/hightimes.jpg,https://example.com/hightimes-logo.png,hightimes.com,High Times,Los Angeles,CA,,,,,,,,,,,,Sarah Miller,Sarah Miller,16 May
Uplyft,https://getuplyft.com,,uplyft,Subscription-based cannabis delivery service with curated products.,Weed Delivery,87,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/uplyft.jpg,https://example.com/uplyft-logo.png,getuplyft.com,Uplyft,San Diego,CA,,,,,,,,,,,,Chris White,Chris White,2024-05-16
Herbarium,https://herbarium.la,,herbarium,On-demand cannabis delivery with free delivery on orders over a certain amount.,Weed Delivery,89,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/herbarium.jpg,https://example.com/herbarium-logo.png,herbarium.la,Herbarium,Los Angeles,CA,,,,,,,,,,,,Daniel Clark,Daniel Clark,2024-05-16
Sweet Flower,https://sweetflower.com,,sweetflower,Charming dispensary stores with delivery options across California.,Weed Delivery,85,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/sweetflower.jpg,https://example.com/sweetflower-logo.png,sweetflower.com,Sweet Flower,Los Angeles,CA,,,,,,,,,,,,Michael Lee,Michael Lee,2024-05-16
Stiiizy,https://stiiizy.com,,stiiizy,Cannabis delivery with a focus on quality and branding.,Weed Delivery,92,FALSE,TRUE,TRUE,TRUE,TRUE,https://example.com/stiiizy.jpg,https://example.com/stiiizy-logo,,,,,,,,,,,,,,,,,,
Green Dragon,https://greendragon.com,https://greendragon.com,greendragon,Fast and reliable cannabis delivery service in multiple states across the USA.,Weed Delivery,95,FALSE,TRUE,TRUE,TRUE,TRUE,https://greendragon.com/images/greendragon.jpg,https://greendragon.com/images/logo.jpg,greendragon.com,Green Dragon,Denver,CO,,,,,,,,,,,,,Alex Green,01 May
Lantern,https://lanternnow.com,https://lanternnow.com,lantern,Boston's favorite cannabis delivery service with a wide range of products and quick delivery.,Weed Delivery,92,FALSE,TRUE,TRUE,TRUE,TRUE,https://lanternnow.com/images/lantern.jpg,https://lanternnow.com/images/logo.jpg,lanternnow.com,Lantern,Boston,MA,,,,,,,,,,,,,Mary Jane,02 May
Budee,https://budee.org,https://budee.org,budee,Providing cannabis delivery in California with a focus on customer service and fast delivery.,Weed Delivery,88,FALSE,TRUE,TRUE,TRUE,TRUE,https://budee.org/images/budee.jpg,https://budee.org/images/logo.jpg,budee.org,Budee,Los Angeles,CA,,,,,,,,,,,,,John Doe,03 May
Eaze,https://eaze.com,https://eaze.com,eaze,Leading cannabis delivery platform offering a wide variety of products in California.,Weed Delivery,99,FALSE,TRUE,TRUE,TRUE,TRUE,https://eaze.com/images/eaze.jpg,https://eaze.com/images/logo.jpg,eaze.com,Eaze,San Francisco,CA,,,,,,,,,,,,,Jane Doe,04 May
Caliva,https://caliva.com,https://caliva.com,caliva,Premium cannabis delivery service offering top-quality products throughout California.,Weed Delivery,97,FALSE,TRUE,TRUE,TRUE,TRUE,https://caliva.com/images/caliva.jpg,https://caliva.com/images/logo.jpg,caliva.com,Caliva,San Jose,CA,,,,,,,,,,,,,Michael Smith,05 May
The Green Cross,https://thegreencross.org,https://thegreencross.org,greencross,Trusted medical and recreational cannabis delivery service in San Francisco.,Weed Delivery,85,FALSE,TRUE,TRUE,TRUE,TRUE,https://thegreencross.org/images/greencross.jpg,https://thegreencross.org/images/logo.jpg,thegreencross.org,Green Cross,San Francisco,CA,,,,,,,,,,,,,Sarah Lee,06 May
Nugg Club,https://nuggclub.com,https://nuggclub.com,nuggclub,Subscription-based cannabis delivery service offering curated boxes in California.,Weed Delivery,91,FALSE,TRUE,TRUE,TRUE,TRUE,https://nuggclub.com/images/nuggclub.jpg,https://nuggclub.com/images/logo.jpg,nuggclub.com,Nugg Club,Los Angeles,CA,,,,,,,,,,,,,Chris Brown,07 May
Grassdoor,https://grassdoor.com,https://grassdoor.com,grassdoor,Quick and reliable cannabis delivery service operating in California.,Weed Delivery,89,FALSE,TRUE,TRUE,TRUE,TRUE,https://grassdoor.com/images/grassdoor.jpg,https://grassdoor.com/images/logo.jpg,grassdoor.com,Grassdoor,Los Angeles,CA,,,,,,,,,,,,,Emma White,08 May
Amuse,https://amuse.com,https://amuse.com,amuse,Cannabis delivery service offering a wide range of products across California.,Weed Delivery,93,FALSE,TRUE,TRUE,TRUE,TRUE,https://amuse.com/images/amuse.jpg,https://amuse.com/images/logo.jpg,amuse.com,Amuse,Los Angeles,CA,,,,,,,,,,,,,Daniel Black,09 May
Kind Courier,https://kindcourier.com,https://kindcourier.com,kindcourier,Cannabis delivery service providing high-quality products in Colorado.,Weed Delivery,87,FALSE,TRUE,TRUE,TRUE,TRUE,https://kindcourier.com/images/kindcourier.jpg,https://kindcourier.com/images/logo.jpg,kindcourier.com,Kind Courier,Denver,CO,,,,,,,,,,,,,Laura Green,10 May
Mountain Remedy,https://mountainremedy.com,https://mountainremedy.com,mountain,Delivering top-notch cannabis products to customers in the San Francisco Bay Area.,Weed Delivery,86,FALSE,TRUE,TRUE,TRUE,TRUE,https://mountainremedy.com/images/mountainremedy.jpg,https://mountainremedy.com/images/logo.jpg,mountainremedy.com,Mountain Remedy,San Francisco,CA,,,,,,,,,,,,,Alex White,11 May
SpeedWeed,https://speedweed.com,https://speedweed.com,speedweed,Fast cannabis delivery service offering a wide selection of products in California.,Weed Delivery,90,FALSE,TRUE,TRUE,TRUE,TRUE,https://speedweed.com/images/speedweed.jpg,https://speedweed.com/images/logo.jpg,speedweed.com,SpeedWeed,Los Angeles,CA,,,,,,,,,,,,,Maria Lopez,12 May
Leafly Delivery,https://leafly.com,https://leafly.com/delivery,leafly,National cannabis delivery platform connecting customers with local dispensaries.,Weed Delivery,94,FALSE,TRUE,TRUE,TRUE,TRUE,https://leafly.com/images/leafly.jpg,https://leafly.com/images/logo.jpg,leafly.com,Leafly,Multiple Cities,USA,,,,,,,,,,,,,Jane Smith,13 May
Weedmaps Delivery,https://weedmaps.com/delivery,https://weedmaps.com/delivery,weedmaps,Comprehensive cannabis delivery platform operating nationwide.,Weed Delivery,98,FALSE,TRUE,TRUE,TRUE,TRUE,https://weedmaps.com/images/weedmaps.jpg,https://weedmaps.com/images/logo.jpg,weedmaps.com,Weedmaps,Multiple Cities,USA,,,,,,,,,,,,,John Green,14 May
KushFly,https://kush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
